Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
Dover Properties Three LLC T/A Gude Self Storage Plus,-,n@n,ROCKVILLE,  Maryland  ,20850,N/A,"851 E GUDE DR ROCKVILLE  20850 (39.100434, -77.140529)"
"Airpark One Condominium, Inc.",7901 - 7917 Cessna@ Avenue,n@n,  Gaithersburg  ,  Maryland  ,20879,45 and Above,-
12216 Parklawn Drive LLC,12216 Parklawn Drive,  nan  ,Rockville,  M@ryland  ,20852,  Less Than 45  ,"12216 Parklawn Drive Rockville  20852 (39.057646, -77.110228)"
  Montgomery County Revenue Authority - Gaithersburg Airpark  ,"7940 Airpark Road, Suite 200",nan,Gaithersburg,M@ryland,20879,  Less Than 45  ,"  7940 Airp@rk Road, Suite 200 Gaithersburg  20879 (39.167996, -77.162284)  "
Shady Grove Plaza Rockville MD LLC,15245 SHADY GROVE RD,  nan  ,Rockville,-,20850,45 and Above,"15245 SHADY GROVE RD Rockville  20850 (39.107871, -77.189124)"
  CRYSTAL ROCK PLACE OFFICE CONDOMINIUM  ,19785 Crystal Rock Dr,  nan  ,  Germantown  ,M@ryland,N/A,45 and Above,"  19785 Cryst@l Rock Dr Germantown  20874 (39.180438, -77.261786)  "
"CESC One Democracy Plaza, LP.",  6701 Democracy Boulevard  ,N/A,Bethesda,M@ryland,20817,-,"  6701 Democracy Boulevard Bethesda  20817 (39.021758, -77.136437)  "
  Tana Market  ,NULL,nan,N/A,-,20910,-,"623 Sligo Ave Silver Spring  20910 (38.991115, -77.014672)"
"Seneca Centre II, LLC",N/A,n@n,-,MD,20879,45 @nd Above,"18753 N Frederick Ave Gaithersburg  20879 (39.163759, -77.226398)"
US Retail Partners Limited Partnership,  10141 Columbia@ Pike  ,nan,Silver Spring,Maryland,20901,45 @nd Above,10141 Columbia Pike Silver Spring  20901
n@n,  149-157 Rollins Avenue  ,  nan  ,  Rockville  ,Maryland,20852,N/A,"149-157 Rollins Avenue Rockville  20852 (39.058654, -77.124226)"
-,  1251 WEST MONTGOMERY AVE  ,nan,ROCKVILLE,Maryland,20850,45 and Above,"1251 WEST MONTGOMERY AVE ROCKVILLE  20850 (39.088925, -77.177511)"
  Reeds Bridal  ,11212 tri@ngle lane,nan,Wheaton,M@ryland,-,  Less Than 45  ,NULL
Briggs Chaney Plaza LLC,-,n@n,  Silver Spring  ,  Maryland  ,20904,45 and Above,"  13800 - 13881 Outlet Drive Silver Spring  20904 (39.082475, -76.946836)  "
WHEATON PLAZA,11160 VIERS MILL RD,  nan  ,WHEATON,  Maryland  ,20902,45 and Above,"11160 VIERS MILL RD WHEATON  20902 (39.038338, -77.052937)"
"  Knollwood Industri@l Centre, Unit Owners  ",N/A,nan,Gaithersburg,M@ryland,20879,Less Than 45,"18707-18733 Mooney Drive G@ithersburg  20879 (39.163227, -77.164471)"
Federal Realty Investment Trust,  900-999 Prose Street  ,nan,Rockville,Maryland,N/A,  45 and Above  ,900-999 Prose Street Rockville  20852
  WOODMONT GRILL  ,N/A,nan,NULL,M@ryland,20814,45 and Above,N/A
"  AIRPARK PLAZA, LLC  ",18524 - 18568 WOODFIELD RD,nan,  GAITHERSBURG  ,M@ryland,20874,45 and Above,"18524 - 18568 WOODFIELD RD GAITHERSBURG  20874 (39.160917, -77.159032)"
"  Rosenfeld Investment, LLC  ",  5200 - 5290 Randolph Road  ,NULL,Rockville,  M@ryland  ,20852,  45 and Above  ,"  5200 - 5290 Randolph Road Rockville  20852 (39.05348, -77.105194)  "
 ,949-961 Bonifant Street,P@rking Behind Building (Access trough Alley),  SILVER SPRING  ,  Maryland  ,20910,Less Than 45,N/A
NULL,  20-60 West Gude Drive  ,NULL,Rockville,Maryland,20850,45 and Above,"20-60 West Gude Drive Rockville  20850 (39.106525, -77.158948)"
KATZ AND COMPANY,  817 SILVER SPRING AVE  ,  nan  ,SILVER SPRING,  Maryland  ,20910,Less Than 45,"817 SILVER SPRING AVE SILVER SPRING  20910 (38.991722, -77.023449)"
Montrose Shopping entre,12055 ROCKVILLE PIKE,nan,Rockville,Maryland,20852,45 and Above,"  12055 ROCKVILLE PIKE Rockville  20852 (39.054724, -77.117863)  "
  Bethesda@ Service Centre  , ,  nan  ,Bethesda,Maryland,20814,Less Th@n 45,"  8240 Wisconsin Ave Bethesda@  20814 (38.992549, -77.096042)  "
"Cohen Siegel Investors, LLC",6290 Montrose Road,  nan  ,N/A,Maryland,20852,  Less Than 45  ,"6290 Montrose Road Rockville  20852 (39.052815, -77.12802)"
  7-Eleven (Tenant) / T&K Management (Landlord's Agent)  ,8202 Georgia Ave,nan,Silver Spring,  Maryland  ,20910,  Less Than 45  ,"  8202 Georgia Ave Silver Spring  20910 (38.991901, -77.026694)  "
nan,8700 Georgia Ave.,n@n,  Silver Spring  ,Maryland,20910,Less Than 45,"  8700 Georgi@ Ave. Silver Spring  20910 (38.997634, -77.029971)  "
  Montgomery Village LLC  ,19630-19644 Clubhouse Rd,-, ,Maryland,20886,  Less Than 45  ,"19630-19644 Clubhouse Rd G@ithersburg  20886 (39.17455, -77.20469)"
"Wheaton Property, LLC",11201 Veirs Mill Rd,nan,Wheaton,  Maryland  ,20902,Less Than 45,"11201 Veirs Mill Rd Wheaton  20902 (39.040263, -77.055764)"
Capital One Bank,  8315 Georgia AVE  ,NULL,  Silver Spring  ,Maryland,20910,Less Than 45,"8315 Georgia AVE Silver Spring  20910 (38.993283, -77.026584)"
"G@lanis Family, LLC", ,nan,Gaithersburg,Maryland,20877,-,"8 E Diamond Av. Gaithersburg  20877 (39.141741, -77.197599)"
E. Mich@el Tetter,2529-31 Enwalls Avenue,n@n,  Wheaton  ,M@ryland,20902,  Less Than 45  ,"2529-31 Enwalls Avenue Wheaton  20902 (39.039793, -77.053488)"
McCormick Realty Limited Partnership,North Fredrick Road and Travis Avenue,nan,Gaithersburg,  M@ryland  ,20879,45 @nd Above,North Fredrick Road and Travis Avenue Gaithersburg  20879
  Dale Shopping Centre  ,  9320 Georgi@ Avenue  ,  nan  ,Silver Spring,  Maryland  ,20910,Less Th@n 45,"9320 Georgia Avenue Silver Spring  20910 (39.007897, -77.039941)"
"PCO, LLC",18200-18250 Flower Hill W@y,  n@n  ,Gaithersburg,M@ryland,20879,  45 and Above  ,"18200-18250 Flower Hill Way Gaithersburg  20879 (39.155429, -77.164591)"
N/A,11410-A - 11410-P Georgi@ Ave,11412-11416 Georgi@ Ave,Wheaton,M@ryland,20902,  Less Th@n 45  ,"11410-A - 11410-P Georgia Ave Wheaton  20902 (39.041999, -77.051974)"
S& R Inc./OGR C@p1 LLC,11575 Old Georgetown Road,n@n,Rockville,Maryland,20852,Less Than 45,"11575 Old Georgetown Road Rockville  20852 (39.048777, -77.117796)"
  Whetstone Apartments  ,22 Whetstone Drive,nan,G@ithersburg,Maryland,20877,  45 and Above  ,"  22 Whetstone Drive G@ithersburg  20877 (39.148352, -77.204948)  "
Ricciuti's Kitchen,3308 Olney Sandy Spring Rd, ,Olney,Maryland,20832,45 and Above,"  3308 Olney Sandy Spring Rd Olney  20832 (39.15233, -77.065288)  "
KATZ AND COMPANY,4923 BETHESDA AVE,nan,BETHESDA,Maryland,20814,  Less Than 45  ,"  4923 BETHESDA AVE BETHESDA  20814 (38.980808, -77.099264)  "
MOM's OrganicMarket,  10 upper rock circle  ,  nan  ,  Rockville  ,M@ryland,20850,  45 and Above  ,"10 upper rock circle Rockville  20850 (39.104, -77.157)"
NULL,80B Bureau Drve,  nan  ,  Gaithersburg  ,  Maryland  ,20878,  45 and Above  ,"80B Bureau Drve Gaithersburg  20878 (39.144873, -77.216098)"
  SEARS HOLDINGS MANAGEMENT CORPORATION  ,  11255 NEW HAMPSHIRE AVE  ,nan,SILVER SPRING,NULL, ,  45 @nd Above  ,"11255 NEW HAMPSHIRE AVE SILVER SPRING  20904 (39.040601, -76.99092)"
Brookville Road LLP,  8900-8968 Brookville Road  ,n@n,Silver Spring,N/A,20910,-,"8900-8968 Brookville Road Silver Spring  20910 (39.001641, -77.053687)"
  Great Wall Supermarket of maryland  ,  700 Hungerford dr  ,-,Rockville,Maryland,20850,45 and Above,"700 Hungerford dr Rockville  20850 (39.093148, -77.153512)"
  GCAAR HOLDINGS  ,  15201 DIAMONDBACK DR  ,  nan  ,ROCKVILLE,Maryland,20850,45 and Above,"  15201 DIAMONDBACK DR ROCKVILLE  20850 (39.105813, -77.201697)  "
Grove Rockville 31 LLC,4 Choke Cherry Rd.,nan,Rockville,Maryland,20850,  Less Than 45  , 
CLOVERLY TOWNE CENTER,700 - 746 CLOVERLY ST,nan,SILVER SPRING,  Maryland  ,20905,Less Th@n 45,"700 - 746 CLOVERLY ST SILVER SPRING  20905 (39.109756, -76.996776)"
Devin Battley,7653 Lindbergh Drive,  nan  ,Gaithersburg,Maryland,20879,Less Than 45,"7653 Lindbergh Drive Gaithersburg  20879 (39.167231, -77.155274)"
MB Limited Partnership,  203 MUDDY BRANCH RD  ,nan,NULL,Maryland,20878,N/A,N/A
n@n,  18331 Le@man Farm Road  ,  nan  ,Germantown,Maryland,20874,45 and Above,"18331 Leaman Farm Road Germantown  20874 (39.158574, -77.279252)"
GAITHERSBURG SQAURE,568 N FREDERICK AVE,-,GAITHERSBURG, ,NULL,45 and Above,"568 N FREDERICK AVE GAITHERSBURG  20877 (39.149604, -77.208561)"
Georgia West LLC,  2501-2519 University Blvd.  ,  11406A-11406I Georgia Ave.  ,Wheaton,  Maryland  ,20902,  45 and Above  ,"2501-2519 University Blvd. Wheaton  20902 (39.041552, -77.051839)"
  Golden house  ,-,n@n,Bethesda,  M@ryland  ,20814,  Less Than 45  , 
FEDERAL REALTY INVESTMENT TRUST, ,nan,BETHESDA,Maryland,20814,45 and Above,"7255 WOODMONT AVENUE BETHESDA  20814 (38.981574, -77.095869)"
BETHESDA WEST CONDO,4809 ST ELMO AVE,n@n,BETHESDA,Maryland,20814,Less Th@n 45,-
  BELTWAY SHELL  ,  9510 GEORGIA AVE  ,  nan  ,  SILVER SPRING  ,Maryland,20910,Less Than 45,"  9510 GEORGIA AVE SILVER SPRING  20910 (39.010811, -77.041029)  "
  Feder@l Realty Investment Trust  ,915 Meeting Street,n@n,Rockville,M@ryland,20852,  45 and Above  ,915 Meeting Street Rockville  20852
BURLINGTON COAT FACTORY,  600 N. FREDERICK AVE  ,NULL,N/A,M@ryland,20877,45 and Above,"600 N. FREDERICK AVE GAITHERSBURG  20877 (39.150472, -77.209643)"
  Self Stor@ge Plus  ,14690 Southl@wn Lane,n@n,  Rockville  ,Maryland,20850,Less Than 45,"14690 Southlawn Lane Rockville  20850 (39.096369, -77.138421)"
535 LLC,535 SOUTHLAWN LANE,nan,ROCKVILLE,M@ryland,20850,45 and Above,"535 SOUTHLAWN LANE ROCKVILLE  20850 (39.093762, -77.142357)"
Skacquach Properties LLC,  2601 University Blv  ,N/A,Silver Spring,Maryland,NULL,-,2601 University Blv Silver Spring  20906
FLA Limited Partnership,N/A,nan,G@ithersburg,MD,20877,  45 and Above  ,"702 Russell Avenue Gaithersburg  20877 (39.151096, -77.206754)"
GUDE SELF STORAGE,  851 E GUDE DR  ,nan,ROCKVILLE,Maryland,20850,45 and Above,"851 E GUDE DR ROCKVILLE  20850 (39.100434, -77.140529)"
Chris Daniel,100 MARYLAND AVE,  nan  ,ROCKVILLE,Maryland,N/A,  Less Than 45  ,"  100 MARYLAND AVE ROCKVILLE  20850 (39.082089, -77.151215)  "
nan,  18761 N. Frederick Ave  ,nan,  Gaithersburg  ,Maryland,20879,45 and Above,"  18761 N. Frederick Ave Gaithersburg  20879 (39.164797, -77.227228)  "
  BURKLAND CONDOMINIUM  ,  10313 GEORGIA AVE  ,nan,SILVER SPRING,  M@ryland  ,20902,45 and Above,"10313 GEORGIA AVE SILVER SPRING  20902 (39.024014, -77.045569)"
Capital One Bank,  4708 Bethesd@ Avenue  ,nan,Bethesd@,  Maryland  ,20814,Less Than 45,"  4708 Bethesda Avenue Bethesda  20814 (38.981041, -77.093317)  "
"  AMRUGBY, LLC.  ",  4849 Rugby Avenue  ,  nan  ,Bethesd@,Maryland,20814,  Less Than 45  ,"4849 Rugby Avenue Bethesda  20814 (38.990944, -77.09902)"
SOUTHLAWN RESTAURANT,  663 LOFTSTRAND LANE  ,nan,ROCKVILLE,Maryland,20850,  Less Than 45  ,"663 LOFTSTRAND LANE ROCKVILLE  20850 (39.094604, -77.137506)"
"  Fortune Parc Development Partners, LLC  ",  12515 PARK POTOMAC AVE  ,nan,Potomac,  Maryland  ,20854,  Less Than 45  ,"12515 PARK POTOMAC AVE Potom@c  20854 (39.060587, -77.157928)"
NULL,6917-6933 ARLINGTON RD,  nan  ,BETHESDA,Maryland,20814,Less Than 45,"6917-6933 ARLINGTON RD BETHESDA  20814 (38.978483, -77.098737)"
Moonlight Inc.,  850 Sligo Ave  ,nan, ,Maryland,20910,Less Th@n 45,"850 Sligo Ave Silver Spring  20910 (38.990195, -77.02375)"
"4630 Montgomery Avenue, LLC",4630 Montgomery Avenue,  nan  ,  Bethesda  ,Maryland,20814,  Less Than 45  ,"4630 Montgomery Avenue Bethesda  20814 (38.983822, -77.092756)"
NULL,7000 WISCONSIN AVENUE,  nan  ,CHEVY CHASE,  M@ryland  ,20815,  Less Th@n 45  ,"7000 WISCONSIN AVENUE CHEVY CHASE  20815 (38.979302, -77.091851)"
"  Alex Associates, LLC  ",N/A,nan,  Rockville  ,Maryland,20852,Less Than 45,"  844 A-B Rockville Pike Rockville  20852 (39.075466, -77.136988)  "
Olde Town Parking,"17 W. Jefferson Street, Ste. 100",-,  Rockville  ,MD,20850,45 and Above,"17 W. Jefferson Street, Ste. 100 Rockville  20850 (39.083151, -77.15361)"
-,8501-8640 Piney Branch Road,N/A, ,  M@ryland  ,20910,45 and Above,8501-8640 Piney Branch Road Silver Spring  20910
"Greenmount@in Associates L.P., LLLP","  11300 Georgia Ave.(lot in back/side, entrance on Ennalls Ave.  ",nan,  Wheaton  ,  Maryland  ,NULL,N/A,"  11300 Georgia Ave.(lot in back/side, entrance on Ennalls Ave. Wheaton  20902  "
"Professional Equity, LP",101 Lakeforest Blvd.,n@n,Gaithersburg,M@ryland,20877,45 and Above,"101 L@keforest Blvd. Gaithersburg  20877 (39.150755, -77.20802)"
  nan  ,8751 Wisconsin Avenue,nan,Bethesda,  Maryland  ,20814,  45 @nd Above  ,"8751 Wisconsin Avenue Bethesda  20814 (38.998412, -77.096706)"
Federal Realty Investment Trust,961 Prose Street,  nan  ,Rockville,Maryland,20852,45 @nd Above,  961 Prose Street Rockville  20852  
WHITE FLINT PROFESSIONAL,  11119 & 11125 ROCKVILLE PIKE  ,nan,ROCKVILLE,Maryland,20852,  45 and Above  ,"11119 & 11125 ROCKVILLE PIKE ROCKVILLE  20852 (39.038913, -77.108808)"
Montgomery Profession@l Park Condominium,  4 Professional Drive  ,  2 Professional Drive  ,NULL,  Maryland  ,20879,45 and Above,"4 Professional Drive Gaithersburg  20879 (39.163142, -77.227343)"
  BURTONSVILLE CENTER  ,N/A,nan,  SILVER SPRING  ,Maryland,20866,  Less Than 45  ,"15420 OLD COLUMBIA PIKE SILVER SPRING  20866 (39.10878, -76.936058)"
UNIQUE THRIFT STORE,-, ,WHEATON,  Maryland  ,20906,45 and Above,"12211 VIERS MILL RD WHEATON  20906 (39.057299, -77.084401)"
  3202 LLC  ,  3202-3206 Tower Oaks Boulevard  ,nan,  Rockville  ,Maryland, ,  45 @nd Above  ,3202-3206 Tower O@ks Boulevard Rockville  20850
Federal Realty Investment Trust,N. Washington Street and Beall Avenue,  nan  ,Rockville,Maryland,20850,  Less Th@n 45  ,N. Washington Street and Beall Avenue Rockville  20850
  Westmore Commercial Condominum Association Inc  ,N/A,n@n,Rockville,Maryland,20850,45 @nd Above,"7402-7428 Westmore Road Rockville  20850 (39.099398, -77.151747)"
-,401 E JEFFERSON ST,nan,ROCKVILLE,Maryland,20850,45 and Above,"401 E JEFFERSON ST ROCKVILLE  20850 (39.081371, -77.147639)"
  BSREP II Montrose Metro LL  ,11921 Rockville Pike,nan,  Rockville  ,  Maryland  ,NULL,  Less Than 45  ,"  11921 Rockville Pike Rockville  20852 (39.051419, -77.1154)  "
Sherwin-Williams,4809 Auburn Ave,nan,  Bethesd@  ,Maryland,20814,  Less Than 45  ,"4809 Auburn Ave Bethesda  20814 (38.990631, -77.099271)"
N/A,900-999 Rose Avenue,n@n,Rockville,  Maryland  , ,45 and Above,"900-999 Rose Avenue Rockville  20852 (39.050995, -77.116938)"
WASHINGTON PROPERTY COMPANY,1390 PICCARD DR,  nan  ,  ROCKVILLE  ,MD,20850,45 and Above,"1390 PICCARD DR ROCKVILLE  20850 (39.107696, -77.180964)"
  FEDERAL REALTY INVESTMENT TRUST  ,4950 ELM STREET,nan,NULL, ,20814,  Less Than 45  ,"4950 ELM STREET BETHESDA  20814 (38.982099, -77.097638)"
"  Avon Properties, Inc.  ",  1101-1143 and 1151 Taft St.  ,  n@n  ,Rockville,Maryland,20850,  45 @nd Above  ,"  1101-1143 @nd 1151 Taft St. Rockville  20850 (39.093561, -77.135524)  "
"Bethesda West Condominium Council of Unit Owners, Inc.",4801-4815 St. Elmo Avenue,nan,Bethesda,  Maryland  ,20814,Less Than 45,NULL
"Pettit Commercial Properties, LLC",  18201-18257 Flower Hill Way  ,n@n,Gaithersburg,  Maryland  ,20879,45 and Above,"  18201-18257 Flower Hill Way Gaithersburg  20879 (39.15526, -77.164421)  "
Karl Offenbacher et al Trust,"  18775, 18777, 18779 Game Preserve Rd.  ",  n@n  ,Gaithersburg,M@ryland,20878,  45 @nd Above  ,"  18775, 18777, 18779 Game Preserve Rd. Gaithersburg  20878  "
  Kohl's Department Stores  ,  20918 FREDERICK RD  ,nan,N/A,Maryland, ,45 and Above,"  20918 FREDERICK RD Germ@ntown  20876 (39.19871, -77.245077)  "
"535, LLC",535 SOUTHLAWN LN,  nan  ,Rockville,M@ryland,20850,45 and Above,"535 SOUTHLAWN LN Rockville  20850 (39.093762, -77.142357)"
  Enterprise (Tenant) / T&K Management (Landlord's Agent)  ,8208 Georgia Ave,nan,Silver Spring,Maryland,20910,Less Than 45,"  8208 Georgia Ave Silver Spring  20910 (38.99197, -77.026695)  "
Wheaton Exxon, ,n@n,Silver Spring,M@ryland,20902,  Less Than 45  ,"11310 Georgi@ Ave. Silver Spring  20902 (39.041186, -77.05173)"
Foulger-Pr@tt Management,NULL,nan,Rockville,  Maryland  ,20852,45 @nd Above,"  11600 Nebel St Rockville  20852 (39.046704, -77.105223)  "
  SAMBA  ,11301 OLD GEORGETOWN RD,n@n,ROCKVILLE,Maryland,20852,Less Than 45,"  11301 OLD GEORGETOWN RD ROCKVILLE  20852 (39.040436, -77.122079)  "
Seibel's Dairy Bar Inc,  15540 Old Columbi@ Pike  ,nan,-,  Maryland  ,-,Less Th@n 45,"  15540 Old Columbia Pike Burtoonsville  20866 (39.110479, -76.933919)  "
  MIZ Property LLC  ,6480 New H@mpshire ave,nan,  Takoma park  ,maryland,20783,Less Than 45,6480 New H@mpshire ave Takoma park  20783
  Carroll Community Bank  ,7126 WISCONSIN AVE,nan,  Bethesda  , ,20814,Less Th@n 45,"7126 WISCONSIN AVE Bethesda  20814 (38.98083, -77.092613)"
TYSONS PETRO LLC,  11355 SEVEN LOCKS RD  ,  nan  ,POTOMAC,  Maryland  ,20854,Less Than 45,"  11355 SEVEN LOCKS RD POTOMAC  20854 (39.042018, -77.159406)  "
  Chris Daniel  ,  100 MARYLAND AVE  ,nan,  ROCKVILLE  ,Maryland,20850,Less Th@n 45,"  100 MARYLAND AVE ROCKVILLE  20850 (39.082089, -77.151215)  "
"  ND Properties, Inc  ",  6700/6710 Rockledge Drice  ,n@n,  Bethesd@  ,Maryland,20817,45 and Above,6700/6710 Rockledge Drice Bethesda  20817
STONESTREET JOINT VENTURE,481-497 SOUTH STONE STREET AVE,nan,ROCKVILLE,  Maryland  , ,Less Th@n 45,"481-497 SOUTH STONE STREET AVE ROCKVILLE  20850 (39.083507, -77.143801)"
White Oak Self Storage,11105 Newq Hampshire Ave,nan,Silver Spring,Maryland,20904,  Less Than 45  ,"11105 Newq Hampshire Ave Silver Spring  20904 (39.0385, -76.9899)"
  HOWARD AVE PROPERTIES  ,  4230 HOWARD AVE  ,  nan  ,KENSINGTON,M@ryland,20895,  Less Than 45  ,"4230 HOWARD AVE KENSINGTON  20895 (39.031085, -77.083408)"
"TFO REVA Meritage Rockspring Park, LLC",6555 Rock Spring Drive,nan,Bethesda,Maryland,20817,45 @nd Above,N/A
  IMPARK  ,-,nan,ROCKVILLE,Maryland,20852,  45 and Above  ,"  12319 PARKLAWN DR ROCKVILLE  20852 (39.059819, -77.111239)  "
Federal Realty Investment Trust,  12 N. Washington Street  ,nan,Rockville,M@ryland,20850,Less Than 45,"  12 N. W@shington Street Rockville  20850 (39.084383, -77.152911)  "
  SELF STORAGE PLUS SOUTHLAWN  ,NULL,-,  ROVCKVILLE  , ,NULL,  Less Than 45  ,"  14690 SOUTHLAWN LANE ROVCKVILLE  20850 (39.096369, -77.138421)  "
Federal Realty Investment Trust,900-955 Meeting Street,  n@n  ,Rockville,Maryland,20852,  45 and Above  ,900-955 Meeting Street Rockville  20852
N/A,8905 FAIRVIEW RD,n@n,SILVER SPRING,  Maryland  ,20910,Less Than 45,"8905 FAIRVIEW RD SILVER SPRING  20910 (39.000595, -77.028856)"
"  BURKE GEORGIA, LLC  ",8700 GEORGIA AVE,n@n,SILVER SPRING,M@ryland, ,Less Than 45,"8700 GEORGIA AVE SILVER SPRING  20910 (38.997634, -77.029971)"
"RG Industrial Center, LLC", ,nan,Gaithersburg,Maryland,20879,45 and Above,"18775-18779 N. Frederick Ave. Gaithersburg  20879 (39.164871, -77.227285)"
  CarrollWest LLC  ,7009 C@rroll Ave,nan,Takoma Park,Maryland,20912,Less Than 45,"7009 Carroll Ave Takoma Park  20912 (38.975003, -77.011667)"
Lucy Tidd,19911 F@ther Hurley Blvd,  nan  , , ,20874,Less Than 45,"  19911 Father Hurley Blvd Montgomery county  20874 (39.181793, -77.27519)  "
SNIDER NAILS AND SALON,9414 - 9418 GEORGIA AVE,nan,SILVER SPRING,  Md  ,20910,N/A,"  9414 - 9418 GEORGIA AVE SILVER SPRING  20910 (39.009093, -77.040395)  "
NULL,18524-18568 Woodfield Ro@d,  nan  ,Gaithersburg,Maryland,20874,45 and Above,"18524-18568 Woodfield Road Gaithersburg  20874 (39.160917, -77.159032)"
Fleitas LLC,  8537-8555 Piney Brabch Road  ,  nan  ,Silver Spring,NULL,20901,N/A,"8537-8555 Piney Brabch Road Silver Spring  20901 (38.998384, -77.001541)"
Bay Ridge Lease Corporation, ,5542 - 5550 Nicholson Lane,Rockville,  Maryland  ,20852,  45 and Above  ,"11421 - 11431 Rockville Pike Rockville  20852 (39.043888, -77.111249)"
"Wilson Montgomery Village Plaza, LLC", ,nan,  G@ithersburg  ,M@ryland,20877,N/A,"18350 Contour Road Gaithersburg  20877 (39.155157, -77.200646)"
HORIZON PLAZA,  8035 SNOUFFER SCHOOL RD  , ,GAITHERSBURG,  Maryland  ,20879,45 and Above,"8035 SNOUFFER SCHOOL RD GAITHERSBURG  20879 (39.160802, -77.163068)"
GARCIA AND FUENTES INC. dba DON JORGE'S RESTAURANT,  108 E. DIAMOND AVE  ,  nan  ,  GAITHERSBURG  ,-,20877,NULL,"108 E. DIAMOND AVE GAITHERSBURG  20877 (39.141863, -77.19629)"
N/A,18900 Woodfield Rd,nan,Gaithersburg,Maryland,20879,N/A,"18900 Woodfield Rd Gaithersburg  20879 (39.166088, -77.15613)"
  Draiman Properties 5 LLC  ,4833 Rugby Ave,nan,Bethesda,Maryland,20814,45 and Above,"4833 Rugby Ave Bethesda  20814 (38.991047, -77.098392)"
  E.U. SERVICES  ,419 DOVER RD,  nan  ,ROCKVILLE,Maryland,20850,  Less Than 45  ,N/A
"Pickford Enterprises, LLC", ,5000-5040 Boiling Brook Pkwy,Rockville,  Maryland  ,20852,-,"11711-11777 Parklawn Drive Rockville  20852 (39.047928, -77.101962)"
"  Rockville Metro Pl@za 1, LLC c/o Foulger Pratt Management, LLC  ",111 ROCKVILLE PIKE,nan,Rockville,Maryland,20850,45 and Above,"  111 ROCKVILLE PIKE Rockville  20850 (39.086292, -77.149231)  "
"BOYDS BETHESDA II GSA, LLC & BOYD BETHESDA III GSA, LLC.",6701 & 6705 ROCKLEDGE DR,n@n,BETHESDA,Maryland,20817,  45 and Above  ,NULL
"PC 200 Girard, LLC and PC 220 Girard, LLC",  200 and 220 Girard Street  ,504 East Diamond Ave,  Gaithersburg  ,NULL,20877,  45 and Above  ,"200 and 220 Girard Street Gaithersburg  20877 (39.141551, -77.182926)"
  7-11 NEW HAMPSHIRE AVE  ,NULL,nan,  SILVER SPRING  ,  Maryland  ,20903,Less Than 45,"9254 NEW HAMPSHIRE AVE SILVER SPRING  20903 (39.006548, -76.980422)"
Rebecca LTD Partnership,10920 Connecticut Ave,nan,Kensington,Maryland,20895,NULL,"  10920 Connecticut Ave Kensington  20895 (39.035447, -77.075173)  "
  Three Irvington Centre Associates LLC  ,  800 KING FARM BLVD  ,nan,Rockville,Maryland,20850,45 and Above,"800 KING FARM BLVD Rockville  20850 (39.111796, -77.177755)"
H.A. Gill,  4918 - 4938 Battery lane  ,  nan  ,Bethesda,Maryland,20814,  45 and Above  ,"4918 - 4938 Battery lane Bethesda  20814 (38.992521, -77.099071)"
  MIDWAY CENTER  ,  16041 frederick rd  ,nan,N/A,  Maryland  ,20855,45 @nd Above,"16041 frederick rd Rockville  20855 (39.118615, -77.171098)"
One Irvington Centre Associates LLC,702 KING FARM BLVD,NULL,Rockville,N/A,20850,45 and Above,"702 KING FARM BLVD Rockville  20850 (39.111646, -77.177512)"
Peel Properties,N/A,n@n,Silver Spring,  Maryland  ,20910,45 and Above,"1400 Spring Street Silver Spring  20910 (38.998405, -77.03348)"
nan,  4405 East-West Hwy  ,nan,Bethesda,N/A,20814,  45 and Above  ,"4405 East-West Hwy Bethesda  20814 (38.985128, -77.090512)"
"Georgia East, LP","  2404-2408 University Blvd,  ",  nan  ,Wheaton,Maryland,20902,Less Th@n 45,"2404-2408 University Blvd, Wheaton  20902 (39.041566, -77.050534)"
ARE-MARYLAND NO. 8 CORPORATION,1405 RESEARCH BLVD,n@n,Rockville,M@ryland,20850,45 and Above,"1405 RESEARCH BLVD Rockville  20850 (39.091425, -77.17867)"
  Redland Plaza LLC  ,17601 to 17617 Redland Road,nan,Derwood,  Maryland  ,20855,45 @nd Above,"  17601 to 17617 Redland Road Derwood  20855 (39.143988, -77.144663)  "
GRIFFIN CYCLE INC.,  4949 BETHESDA AVE  ,n@n,BETHESDA,Maryland,20814,  Less Than 45  ,"4949 BETHESDA AVE BETHESDA  20814 (38.980789, -77.099911)"
ALAN LEVIN,100 MARYLAND AVE,  nan  ,N/A,M@ryland,20850,  Less Than 45  ,"100 MARYLAND AVE ROCKVILLE  20850 (39.082089, -77.151215)"
Rockville Joint Venture,NULL,nan,Rockville,  Maryland  ,20850,45 and Above,"  620-622 Hungerford Drive Rockville  20850 (39.092603, -77.153483)  "
  Airpark Building 1  ,19300 - 19326 Woodfield Ro@d, ,Gaithersburg,Maryland,20879,  45 and Above  ,"19300 - 19326 Woodfield Road Gaithersburg  20879 (39.172991, -77.152228)"
N/A,  11119-11125 Rockville Pike  ,nan,NULL,  Maryland  ,20850,  45 and Above  ,-
Federal Realty Investment Trust,-,nan,Silver Spring,Maryland, ,45 and Above,"  2215 Bell Pre Rd. Silver Spring  20906 (39.090501, -77.047871)  "
"Park Potomac Building E, LLC",12505 PARK POTOMAC AVE,nan,Potomac,  Maryland  ,20854,45 @nd Above,NULL
